epoch,val_acc,train_acc,val_loss,train_loss
0,0.012,0.010005885815185403,4.62373331451416,4.81043860995117
1,0.028,0.017657445556209534,4.558991603851318,4.622541307771535
2,0.028,0.023543260741612712,4.37193187713623,4.430565015507699
3,0.03,0.023543260741612712,4.165119235992432,4.31421942581774
4,0.04,0.02060035314891112,4.089451583862305,4.203658532085947
5,0.022,0.034137728075338436,4.139482280731201,4.156007357805599
6,0.032,0.028251912889935255,4.273928020477295,4.043613400158986
7,0.03,0.030017657445556206,4.018689317703247,4.009006593703101
8,0.042,0.047086521483225424,3.8542605361938476,3.953699936089339
9,0.048,0.04532077692760447,3.8493161125183106,3.8934348969686865
