epoch,val_acc,train_acc,val_loss,train_loss
0,0.01,0.007062978222483814,4.695610870361328,4.82045923084845
1,0.012,0.009417304296645085,4.569836128234863,4.663183830849489
2,0.028,0.0164802825191289,4.4664023361206056,4.567795460472533
3,0.028,0.030017657445556206,4.369000507354737,4.448838217950274
4,0.038,0.017657445556209534,4.269931510925293,4.386240109336454
5,0.05,0.022954679223072393,4.176790416717529,4.295143548427714
6,0.022,0.026486168334314303,4.132272731781006,4.238851539944115
7,0.024,0.027663331371394935,4.2379962348937985,4.199312295964215
8,0.04,0.03178340200117716,4.05948416519165,4.157039936182428
9,0.03,0.03884638022366098,4.132731700897216,4.096710166347385
