epoch,val_acc,train_acc,val_loss,train_loss
0,0.11925925925925926,0.044583333333333336,5.382109822402766,8.363176193237305
1,0.4528395061728395,0.3879166666666667,2.527001059614582,3.1316616408030193
2,0.6982716049382717,0.6533333333333333,1.266126520957476,1.508889021873474
3,0.5906172839506173,0.7704166666666667,1.7084098483898023,0.9021945365269979
4,0.7506172839506173,0.8258333333333334,0.9484037173530202,0.6794189047813416
5,0.762962962962963,0.8525,0.9268778450989429,0.5860186390082042
6,0.8051851851851852,0.8662500000000001,0.762882854408688,0.4859415368239085
7,0.7333333333333334,0.8954166666666667,1.0410247499265788,0.37426868041356404
8,0.8209876543209876,0.8970833333333333,0.6735516382183557,0.3475955597559611
9,0.7580246913580247,0.9062500000000001,0.9463799382139135,0.3160076173146566
10,0.8123456790123457,0.9029166666666667,0.7952980949554914,0.344750811457634
11,0.7409876543209877,0.9029166666666667,1.1462236230167342,0.36883171717325847
12,0.8651851851851852,0.92,0.50044624251348,0.2709781526525815
13,0.8538271604938272,0.9441666666666667,0.6582430598250142,0.20471598232785862
14,0.8553086419753086,0.9354166666666667,0.6700011734314907,0.24493566567699115
15,0.8343209876543211,0.9420833333333334,0.7043178368792122,0.21250230352083843
16,0.842716049382716,0.9375000000000001,0.6413700415175638,0.24776271373033523
17,0.8883950617283951,0.9520833333333334,0.4312770856751336,0.1799706792831421
18,0.831604938271605,0.9404166666666667,0.7226164781311412,0.2065029689669609
19,0.831358024691358,0.9400000000000001,0.7367109936034237,0.2458418983221054
