epoch,val_acc,train_acc,val_loss,train_loss
0,0.29,0.12360211889346674,3.265292444229126,5.871771883024336
1,0.842,0.6262507357268982,0.6731338477134705,1.593273297662662
2,0.882,0.883460859329017,0.5072764801979065,0.5070609918161306
3,0.9540000000000001,0.9276044732195409,0.2244360238313675,0.3067228426085703
4,0.93,0.9440847557386698,0.28378886222839356,0.22267845464215832
5,0.87,0.9617422012948793,0.47648608493804934,0.1744056680821334
6,0.964,0.9705709240729841,0.13715266716480254,0.13446931841795834
7,0.974,0.9664508534432018,0.12630480808019637,0.13253587981649817
8,0.964,0.9664508534432018,0.14985537362098694,0.11814206801771486
9,0.9520000000000001,0.9758681577398469,0.1976994707584381,0.09849703624151677
